Дата;Цена;Откр.;Макс.;Мин.;Объём;Изм. %
31.08.2018;60.33;60.4;61.06;59.72;26,88M;-0.0049
30.08.2018;60.63;60.45;60.92;59.54;36,08M;-0.0061
29.08.2018;61;62.05;62.37;60.74;37,24M;-0.022
28.08.2018;62.37;63.68;63.78;62.24;38,25M;-0.0232
27.08.2018;63.85;63.6;64.49;61.76;65,40M;-0.011
24.08.2018;64.56;64.14;64.77;63.88;18,01M;0.0084
23.08.2018;64.02;63.83;65.46;63.62;25,74M;-0.0048
22.08.2018;64.33;64.17;64.78;62.93;29,73M;-0.0008
21.08.2018;64.38;62.12;64.96;61.8;65,86M;0.0436
20.08.2018;61.69;58.34;61.7;57.64;87,01M;0.0097
17.08.2018;61.1;64.7;65.35;60.71;94,79M;-0.0893
16.08.2018;67.09;67.98;68.46;66.76;30,32M;-0.0096
15.08.2018;67.74;68.38;68.9;66.43;45,51M;-0.0257
14.08.2018;69.53;71.69;71.84;69.42;34,93M;-0.0246
13.08.2018;71.28;72.23;72.64;69.8;52,32M;0.0025
10.08.2018;71.1;70.8;72;69.2;57,76M;0.0087
09.08.2018;70.49;73.11;73.4;69.15;85,92M;-0.0483
08.08.2018;74.07;73.82;76.53;73.42;122,86M;-0.0242
07.08.2018;75.91;68.77;77.49;67.83;154,38M;0.1098
06.08.2018;68.4;69.09;71;68.36;42,82M;-0.0177
03.08.2018;69.63;69.56;71;68.51;68,28M;-0.004
02.08.2018;69.91;65.69;70;64.63;116,07M;0.1619
01.08.2018;60.17;59.6;60.6;58.6;50,65M;0.0091
